year,latitude,longitude,population
2008,5.908333333339513,95.21666666668402,207.2761
2008,5.908333333339513,95.22500000001735,72.36776
2008,5.900000000006187,95.21666666668402,255.7921
2008,5.900000000006187,95.22500000001735,254.954
2008,5.900000000006187,95.23333333335069,112.8233
2008,5.900000000006187,95.25000000001735,27.45884
2008,5.891666666672847,95.21666666668402,241.3311
2008,5.891666666672847,95.22500000001735,258.3925
2008,5.891666666672847,95.23333333335069,234.3279
2008,5.891666666672847,95.24166666668403,16.90307
2008,5.891666666672847,95.25000000001735,52.57237
2008,5.891666666672847,95.25833333335069,3.572373
2008,5.891666666672847,95.30833333335069,115.3958
2008,5.891666666672847,95.31666666668403,121.265
2008,5.891666666672847,95.32500000001735,258.3925
2008,5.891666666672847,95.3333333333507,257.2472
2008,5.883333333339522,95.22500000001735,258.3964
2008,5.883333333339522,95.23333333335069,258.3964
2008,5.883333333339522,95.24166666668403,204.0765
2008,5.883333333339522,95.25000000001735,142.1061
2008,5.883333333339522,95.25833333335069,50.21366
2008,5.883333333339522,95.30000000001736,5.007051
2008,5.883333333339522,95.30833333335069,45.826
2008,5.883333333339522,95.31666666668403,99.4929
2008,5.883333333339522,95.32500000001735,258.3964
2008,5.883333333339522,95.3333333333507,258.3964
2008,5.883333333339522,95.34166666668402,258.3947
2008,5.875000000006182,95.22500000001735,208.1774
2008,5.875000000006182,95.23333333335069,258.4003
2008,5.875000000006182,95.24166666668403,258.4003
2008,5.875000000006182,95.25000000001735,244.9013
2008,5.875000000006182,95.25833333335069,166.4247
2008,5.875000000006182,95.26666666668402,33.20443
2008,5.875000000006182,95.30000000001736,157.6076
2008,5.875000000006182,95.30833333335069,76.76134
2008,5.875000000006182,95.31666666668403,218.9709
2008,5.875000000006182,95.32500000001735,180.4694
2008,5.875000000006182,95.3333333333507,258.4003
2008,5.875000000006182,95.34166666668402,258.4003
2008,5.875000000006182,95.35000000001736,89.32421
2008,5.866666666672856,95.23333333335069,230.8244
2008,5.866666666672856,95.24166666668403,258.4042
2008,5.866666666672856,95.25000000001735,258.4042
2008,5.866666666672856,95.25833333335069,156.6412
2008,5.866666666672856,95.26666666668402,19.35018
2008,5.866666666672856,95.30000000001736,207.8346
2008,5.866666666672856,95.30833333335069,258.4042
2008,5.866666666672856,95.31666666668403,258.4042
2008,5.866666666672856,95.32500000001735,248.5083
2008,5.866666666672856,95.3333333333507,258.4042
2008,5.866666666672856,95.34166666668402,258.4042
2008,5.866666666672856,95.35000000001736,201.9866
2008,5.866666666672856,95.3583333333507,2.447205
2008,5.858333333339516,95.24166666668403,234.2355
2008,5.858333333339516,95.25000000001735,258.408
2008,5.858333333339516,95.25833333335069,251.519
2008,5.858333333339516,95.26666666668402,157.6149
2008,5.858333333339516,95.27500000001736,5.319706
2008,5.858333333339516,95.30000000001736,173.2189
2008,5.858333333339516,95.30833333335069,258.408
2008,5.858333333339516,95.31666666668403,258.408
2008,5.858333333339516,95.32500000001735,258.408
2008,5.858333333339516,95.3333333333507,258.408
2008,5.858333333339516,95.34166666668402,258.408
2008,5.858333333339516,95.35000000001736,258.408
2008,5.858333333339516,95.3583333333507,168.9617
2008,5.858333333339516,95.36666666668403,35.87667
2008,5.850000000006176,95.24166666668403,1.294006
2008,5.850000000006176,95.25000000001735,121.7248
2008,5.850000000006176,95.25833333335069,258.4119
2008,5.850000000006176,95.26666666668402,258.4119
2008,5.850000000006176,95.27500000001736,204.7699
2008,5.850000000006176,95.28333333335068,55.04868
2008,5.850000000006176,95.30000000001736,140.5514
2008,5.850000000006176,95.30833333335069,258.4119
2008,5.850000000006176,95.31666666668403,258.4119
2008,5.850000000006176,95.32500000001735,258.4119
2008,5.850000000006176,95.3333333333507,258.4118
2008,5.850000000006176,95.34166666668402,258.4119
2008,5.850000000006176,95.35000000001736,258.4119
2008,5.850000000006176,95.3583333333507,258.4119
2008,5.850000000006176,95.36666666668403,200.8039
2008,5.84166666667285,95.25000000001735,2.01676
2008,5.84166666667285,95.25833333335069,229.2677
2008,5.84166666667285,95.26666666668402,258.4157
2008,5.84166666667285,95.27500000001736,258.4157
2008,5.84166666667285,95.28333333335068,251.0941
2008,5.84166666667285,95.29166666668402,215.6449
2008,5.84166666667285,95.30000000001736,235.7314
2008,5.84166666667285,95.30833333335069,258.4157
2008,5.84166666667285,95.31666666668403,258.4157
2008,5.84166666667285,95.32500000001735,258.4157
2008,5.84166666667285,95.3333333333507,258.4157
2008,5.84166666667285,95.34166666668402,258.4157
2008,5.84166666667285,95.35000000001736,258.4158
2008,5.84166666667285,95.3583333333507,258.4157
2008,5.84166666667285,95.36666666668403,245.6691
2008,5.84166666667285,95.37500000001737,5.868902
2008,5.83333333333951,95.25833333335069,236.7483
2008,5.83333333333951,95.26666666668402,258.4196
2008,5.83333333333951,95.27500000001736,258.4195
2008,5.83333333333951,95.28333333335068,258.4195
2008,5.83333333333951,95.29166666668402,258.4195
2008,5.83333333333951,95.30000000001736,258.4196
2008,5.83333333333951,95.30833333335069,258.4195
2008,5.83333333333951,95.31666666668403,258.4196
2008,5.83333333333951,95.32500000001735,258.4195
2008,5.83333333333951,95.3333333333507,258.4195
2008,5.83333333333951,95.34166666668402,224.2343
2008,5.83333333333951,95.35000000001736,210.9811
2008,5.83333333333951,95.3583333333507,258.4195
2008,5.83333333333951,95.36666666668403,258.4196
2008,5.83333333333951,95.37500000001737,66.58579
2008,5.825000000006185,95.25833333335069,168.1048
2008,5.825000000006185,95.26666666668402,258.4234
2008,5.825000000006185,95.27500000001736,258.4234
